# ik    E (eV)      weight
    0.000000   -3.000000    0.161510
    0.000000   -2.950000    0.156280
    0.000000   -2.900000    0.155300
    0.000000   -2.850000    0.158392
    0.000000   -2.800000    0.165863
    0.000000   -2.750000    0.178591
    0.000000   -2.700000    0.198304
    0.000000   -2.650000    0.228203
    0.000000   -2.600000    0.274351
    0.000000   -2.550000    0.349045
    0.000000   -2.500000    0.479958
    0.000000   -2.450000    0.739132
    0.000000   -2.400000    1.354177
    0.000000   -2.350000    3.170932
    0.000000   -2.300000    6.506625
    0.000000   -2.250000    3.519028
    0.000000   -2.200000    1.523569
    0.000000   -2.150000    0.885939
    0.000000   -2.100000    0.655616
    0.000000   -2.050000    0.580291
    0.000000   -2.000000    0.589656
    0.000000   -1.950000    0.671390
    0.000000   -1.900000    0.848941
    0.000000   -1.850000    1.201599
    0.000000   -1.800000    1.963694
    0.000000   -1.750000    3.945151
    0.000000   -1.700000    9.724091
    0.000000   -1.650000   12.089691
    0.000000   -1.600000    6.364026
    0.000000   -1.550000    6.585463
    0.000000   -1.500000    7.105450
    0.000000   -1.450000    3.389915
    0.000000   -1.400000    2.118370
    0.000000   -1.350000    2.100155
    0.000000   -1.300000    3.448419
    0.000000   -1.250000    6.830661
    0.000000   -1.200000    4.319005
    0.000000   -1.150000    2.137125
    0.000000   -1.100000    1.672010
    0.000000   -1.050000    2.186604
    0.000000   -1.000000    4.588673
    0.000000   -0.950000    6.236473
    0.000000   -0.900000    2.678567
    0.000000   -0.850000    1.240550
    0.000000   -0.800000    0.720718
    0.000000   -0.750000    0.484123
    0.000000   -0.700000    0.356203
    0.000000   -0.650000    0.278395
    0.000000   -0.600000    0.226993
    0.000000   -0.550000    0.190941
    0.000000   -0.500000    0.164502
    0.000000   -0.450000    0.144442
    0.000000   -0.400000    0.128817
    0.000000   -0.350000    0.116393
    0.000000   -0.300000    0.106356
    0.000000   -0.250000    0.098148
    0.000000   -0.200000    0.091375
    0.000000   -0.150000    0.085751
    0.000000   -0.100000    0.081069
    0.000000   -0.050000    0.077171
