# ik    E (eV)      weight
    0.009795    0.500000    2.790770
    0.009795    0.550000    1.203661
    0.009795    0.600000    0.658080
    0.009795    0.650000    0.424526
    0.009795    0.700000    0.305964
    0.009795    0.750000    0.238529
    0.009795    0.800000    0.197233
    0.009795    0.850000    0.170824
    0.009795    0.900000    0.153699
    0.009795    0.950000    0.142868
    0.009795    1.000000    0.136688
    0.009795    1.050000    0.134284
    0.009795    1.100000    0.135287
    0.009795    1.150000    0.139726
    0.009795    1.200000    0.148036
    0.009795    1.250000    0.161167
    0.009795    1.300000    0.180871
    0.009795    1.350000    0.210305
    0.009795    1.400000    0.255378
    0.009795    1.450000    0.327970
    0.009795    1.500000    0.454594
    0.009795    1.550000    0.703625
    0.009795    1.600000    1.288659
    0.009795    1.650000    3.002725
    0.009795    1.700000    6.440907
    0.009795    1.750000    3.677216
    0.009795    1.800000    1.566331
    0.009795    1.850000    0.898906
    0.009795    1.900000    0.669589
    0.009795    1.950000    0.615827
    0.009795    2.000000    0.680619
    0.009795    2.050000    0.900294
    0.009795    2.100000    1.465488
    0.009795    2.150000    3.113666
    0.009795    2.200000    6.761801
    0.009795    2.250000    4.661984
    0.009795    2.300000    3.262094
    0.009795    2.350000    5.228177
    0.009795    2.400000    6.265222
    0.009795    2.450000    2.690760
    0.009795    2.500000    1.319491
    0.009795    2.550000    0.829458
    0.009795    2.600000    0.625262
    0.009795    2.650000    0.545484
    0.009795    2.700000    0.544975
    0.009795    2.750000    0.627669
    0.009795    2.800000    0.853809
    0.009795    2.850000    1.441651
    0.009795    2.900000    3.218805
    0.009795    2.950000    6.594886
    0.009795    3.000000    3.693050
 
    0.019589   -3.000000    0.911878
    0.019589   -2.950000    0.614171
    0.019589   -2.900000    0.453128
    0.019589   -2.850000    0.358037
    0.019589   -2.800000    0.298811
    0.019589   -2.750000    0.261069
    0.019589   -2.700000    0.237371
    0.019589   -2.650000    0.223698
    0.019589   -2.600000    0.217911
    0.019589   -2.550000    0.219048
    0.019589   -2.500000    0.227034
    0.019589   -2.450000    0.242653
    0.019589   -2.400000    0.267768
    0.019589   -2.350000    0.305910
    0.019589   -2.300000    0.363626
    0.019589   -2.250000    0.453603
    0.019589   -2.200000    0.602773
    0.019589   -2.150000    0.876595
    0.019589   -2.100000    1.467043
    0.019589   -2.050000    3.061912
    0.019589   -2.000000    6.825536
    0.019589   -1.950000    5.354177
    0.019589   -1.900000    4.277987
    0.019589   -1.850000    7.116723
    0.019589   -1.800000    6.248835
    0.019589   -1.750000    4.758751
    0.019589   -1.700000    7.515868
    0.019589   -1.650000    6.656872
    0.019589   -1.600000    6.356744
    0.019589   -1.550000    6.956688
    0.019589   -1.500000    3.064376
    0.019589   -1.450000    1.493695
    0.019589   -1.400000    0.895460
    0.019589   -1.350000    0.610792
    0.019589   -1.300000    0.452197
    0.019589   -1.250000    0.354132
    0.019589   -1.200000    0.289034
    0.019589   -1.150000    0.243626
    0.019589   -1.100000    0.210842
    0.019589   -1.050000    0.186633
    0.019589   -1.000000    0.168550
    0.019589   -0.950000    0.155052
    0.019589   -0.900000    0.145159
    0.019589   -0.850000    0.138252
    0.019589   -0.800000    0.133975
    0.019589   -0.750000    0.132179
    0.019589   -0.700000    0.132911
    0.019589   -0.650000    0.136439
    0.019589   -0.600000    0.143318
    0.019589   -0.550000    0.154538
    0.019589   -0.500000    0.171809
    0.019589   -0.450000    0.198141
    0.019589   -0.400000    0.239107
    0.019589   -0.350000    0.305824
    0.019589   -0.300000    0.422877
    0.019589   -0.250000    0.652875
    0.019589   -0.200000    1.188144
    0.019589   -0.150000    2.739672
    0.019589   -0.100000    6.254619
    0.019589   -0.050000    3.932393
    0.019589    0.000000    1.605155
    0.019589    0.050000    0.857151
    0.019589    0.100000    0.583909
    0.019589    0.150000    0.485452
    0.019589    0.200000    0.483682
    0.019589    0.250000    0.577426
    0.019589    0.300000    0.840527
    0.019589    0.350000    1.557695
    0.019589    0.400000    3.789027
    0.019589    0.450000    6.331129
    0.019589    0.500000    2.842156
    0.019589    0.550000    1.220019
    0.019589    0.600000    0.664416
    0.019589    0.650000    0.427517
    0.019589    0.700000    0.307590
    0.019589    0.750000    0.239507
